lat,lng,Low,High
45.0046,-93.477,not disclosed,not disclosed
37.9348,-121.2714,94,150
38.8368,-77.277,"1,900","3,040"
38.8531,-77.2998,"1,900","3,040"
36.2171,-121.2388,"3,388","5,420"
43.6742,-96.7915,912,"1,460"
38.8368,-77.277,750,"1,200"
38.8531,-77.2998,750,"1,200"
38.8368,-77.277,"3,101","4,961"
38.8531,-77.2998,"3,101","4,961"
38.8368,-77.277,"2,000","3,200"
38.8531,-77.2998,"2,000","3,200"
39.4722,-77.398,"3,765","6,024"
39.2046,-78.2626,"3,765","6,024"
38.8368,-77.277,519,830
38.8531,-77.2998,519,830
38.1872,-85.6591,"2,237","3,579"
33.5543,-86.8964,"2,237","3,579"
39.5864,-105.2505,"2,237","3,579"
29.7882,-90.1276,"2,237","3,579"
29.8841,-94.1629,"2,237","3,579"
38.261,-90.5377,"2,237","3,579"
44.0495,-75.9203,"2,237","3,579"
43.0208,-88.7759,"2,237","3,579"
34.2683,-91.9304,"2,237","3,579"
40.385,-80.761,"2,237","3,579"
39.3076,-77.8628,"2,237","3,579"
36.051,-83.4463,"2,237","3,579"
41.1282,-78.9994,"2,237","3,579"
38.3005,-88.924,"2,237","3,579"
47.7486,-123.5964,"2,237","3,579"
43.8201,-112.3113,"2,237","3,579"
38.7858,-85.4386,"2,237","3,579"
44.6294,-121.1761,"2,237","3,579"
39.2358,-95.3834,"2,237","3,579"
41.0318,-91.9489,"2,237","3,579"
33.0549,-82.4182,"2,237","3,579"
30.4375,-83.8953,"2,237","3,579"
46.1485,-112.0938,"2,237","3,579"
40.1757,-97.1427,"2,237","3,579"
31.7342,-91.0373,"2,237","3,579"
34.111,-97.8358,"2,237","3,579"
39.8236,-85.7733,"5,438","8,700"
41.0019,-83.6665,"5,438","8,700"
44.6647,-68.3584,"5,438","8,700"
30.4165,-89.489,"5,438","8,700"
40.5219,-80.5739,"5,438","8,700"
40.4037,-91.1647,"5,438","8,700"
43.0819,-93.7343,"5,438","8,700"
37.8415,-86.7779,"5,438","8,700"
33.2704,-83.0007,"5,438","8,700"
36.5236,-83.2219,"5,438","8,700"
38.8368,-77.277,500,800
38.8531,-77.2998,500,800
37.7644,-75.6334,"1,000","1,600"
38.8368,-77.277,"10,139","16,222"
38.8531,-77.2998,"10,139","16,222"
40.1199,-111.6702,"45,050","72,080"
36.2171,-121.2388,525,840
36.2171,-121.2388,9,14
37.4228,-122.3291,"2,603","4,164"
39.6498,-104.3393,"1,119","1,790"
33.349,-112.4915,"91,200","145,919"
39.0907,-77.6357,"83,438","133,500"
39.0907,-77.6357,"68,063","108,900"
47.2057,-119.4518,"41,125","65,800"
40.5158,-85.6547,"41,125","65,800"
42.8675,-90.7062,"41,125","65,800"
32.7389,-108.3824,"41,125","65,800"
38.6488,-84.6246,"41,125","65,800"
31.5997,-92.5595,"41,125","65,800"
34.29,-92.4237,"41,125","65,800"
39.1051,-79.1956,"41,125","65,800"
45.1719,-96.7677,"41,125","65,800"
37.5623,-101.308,"41,125","65,800"
44.4916,-119.0073,"41,125","65,800"
45.9341,-96.0122,"41,125","65,800"
36.7961,-97.7861,"41,125","65,800"
46.3583,-101.6397,"41,125","65,800"
41.915,-101.7406,"41,125","65,800"
37.2318,-121.6951,"33,210","53,136"
29.4489,-98.52,"24,830","39,727"
37.2318,-121.6951,"23,701","37,921"
29.4489,-98.52,"16,553","26,485"
39.0907,-77.6357,"15,125","24,200"
39.0907,-77.6357,"12,793","20,468"
37.2318,-121.6951,141,225
39.0907,-77.6357,"2,000","3,200"
31.7686,-106.2348,"7,500","12,000"
38.8321,-104.5254,"7,500","12,000"
38.7029,-77.4809,"6,000","9,600"
27.9292,-82.3088,"5,059","8,094"
42.9153,-71.7161,"5,059","8,094"
34.8414,-116.1785,"3,828","6,124"
39.0907,-77.6357,"3,500","5,600"
25.615,-80.5624,"2,000","3,200"
40.788,-74.2481,"1,888","3,020"
42.6732,-70.9524,"1,888","3,020"
44.1172,-73.7726,"1,888","3,020"
37.9428,-76.9519,"1,888","3,020"
44.7275,-71.7359,"1,888","3,020"
37.6469,-121.8887,953,"1,525"
38.8368,-77.277,875,"1,400"
38.8531,-77.2998,875,"1,400"
37.6469,-121.8887,820,"1,311"
34.8414,-116.1785,548,876
34.3219,-118.2247,410,656
38.8295,-76.8473,500,800
42.4856,-71.3918,375,600
40.4392,-74.4117,375,600
37.6303,-76.5698,375,600
34.3219,-118.2247,269,430
38.9047,-77.0163,275,440
38.6407,-90.4434,250,400
38.6358,-90.2451,250,400
47.6032,-92.4707,250,400
42.4856,-71.3918,188,300
40.4392,-74.4117,188,300
37.6303,-76.5698,188,300
40.7408,-74.0751,188,300
41.2953,-96.1543,88,140
39.3298,-104.9293,88,140
33.7019,-84.7679,88,140
38.8847,-95.2926,88,140
43.2797,-123.1665,88,140
38.9123,-119.6162,88,140
47.7361,-119.6918,88,140
46.4329,-91.9162,88,140
45.9338,-95.4535,88,140
39.7694,-88.2173,88,140
36.9326,-92.4988,88,140
43.3869,-98.3661,88,140
35.0514,-106.6702,100,159
41.7431,-123.8972,15,24
39.0907,-77.6357,"11,525","18,440"
41.2953,-96.1543,509,814
39.3298,-104.9293,509,814
33.7019,-84.7679,509,814
38.8847,-95.2926,509,814
43.2797,-123.1665,509,814
38.9123,-119.6162,509,814
47.7361,-119.6918,509,814
46.4329,-91.9162,509,814
45.9338,-95.4535,509,814
39.7694,-88.2173,509,814
36.9326,-92.4988,509,814
43.3869,-98.3661,509,814
31.7686,-106.2348,"8,130","13,007"
38.8321,-104.5254,"8,130","13,007"
36.3387,-94.2561,"6,442","10,307"
46.2398,-119.5112,"6,442","10,307"
44.4918,-123.4293,"6,442","10,307"
45.6991,-93.9988,"6,442","10,307"
42.0802,-92.0657,"6,442","10,307"
38.2949,-93.2879,"6,442","10,307"
36.0698,-88.0683,"6,442","10,307"
40.6063,-87.3109,"6,442","10,307"
34.8173,-89.1885,"6,442","10,307"
36.6287,-94.3483,"2,900","4,640"
33.7031,-117.7609,129,207
28.5144,-81.3235,129,207
41.4022,-74.3056,129,207
36.0611,-79.1207,129,207
30.1213,-93.8939,129,207
38.2461,-78.014,129,207
44.0056,-72.3768,129,207
38.5418,-86.495,129,207
39.0634,-120.7177,356,569
37.6469,-121.8887,60,96
41.852,-88.0856,548,876
42.3233,-88.0037,"1,875","3,000"
